(venv) C:\Users\felix\OneDrive\Dokumente\Python Projects\audio_percentage\uis-rnn-master>python demo.py --train_iterat
ion=1000 -l=0.001
Warning: transition_bias cannot be correctly estimated from a concatenated sequence; train_sequences will be treated a
s a single sequence. This can lead to inaccurate estimation of transition_bias. Please, consider estimating transition
_bias before concatenating the sequences and passing it as argument.
Iter: 0         Training Loss: -283.4789
    Negative Log Likelihood: 37.8221    Sigma2 Prior: -518.9044 Regularization: 0.0010
Iter: 280       Training Loss: -420.8420
    Negative Log Likelihood: 52.0467    Sigma2 Prior: -472.8898 Regularization: 0.0010
Iter: 290       Training Loss: -449.6742
    Negative Log Likelihood: 34.2331    Sigma2 Prior: -483.9083 Regularization: 0.0010
Iter: 300       Training Loss: -491.2121
    Negative Log Likelihood: 44.8893    Sigma2 Prior: -536.1024 Regularization: 0.0010
Iter: 310       Training Loss: -493.9340
    Negative Log Likelihood: 34.2331    Sigma2 Prior: -483.908
3 Regularization: 0.0010
Iter: 300       Training Loss: -491.2121
    Negative Log Likelihood: 44.8893    Sigma2 Prior: -536.102
4 Regularization: 0.0010
Iter: 310       Training Loss: -493.9340
    Negative Log Likelihood: 36.9161    Sigma2 Prior: -530.851
1 Regularization: 0.0010
Iter: 320       Training Loss: -505.2823
    Negative Log Likelihood: 36.7156    Sigma2 Prior: -541.999
0 Regularization: 0.0011
Iter: 330       Training Loss: -463.1268
    Negative Log Likelihood: 47.4454    Sigma2 Prior: -510.573
3 Regularization: 0.0011
Iter: 340       Training Loss: -495.1879
    Negative Log Likelihood: 37.1890    Sigma2 Prior: -532.378
1 Regularization: 0.0011
Iter: 350       Training Loss: -487.7287
    Negative Log Likelihood: 41.6093    Sigma2 Prior: -529.339
1       Regularization: 0.0011
Iter: 360       Training Loss: -469.8178
    Negative Log Likelihood: 44.9403    Sigma2 Prior: -514.759
2       Regularization: 0.0011
Iter: 370       Training Loss: -464.9250
    Negative Log Likelihood: 35.5031    Sigma2 Prior: -500.429
1       Regularization: 0.0011
Iter: 380       Training Loss: -495.1464
    Negative Log Likelihood: 40.8133    Sigma2 Prior: -535.960
8       Regularization: 0.0011
Iter: 390       Training Loss: -459.6707
    Negative Log Likelihood: 43.7825    Sigma2 Prior: -503.454
4       Regularization: 0.0011
Iter: 400       Training Loss: -460.0876
    Negative Log Likelihood: 32.5526    Sigma2 Prior: -492.641
3       Regularization: 0.0011
Iter: 410       Training Loss: -470.0808
    Negative Log Likelihood: 45.9493    Sigma2 Prior: -516.031
3       Regularization: 0.0011
Iter: 420       Training Loss: -461.8060
    Negative Log Likelihood: 39.2866    Sigma2 Prior: -501.093
7       Regularization: 0.0012
Iter: 430       Training Loss: -493.1149
    Negative Log Likelihood: 44.7833    Sigma2 Prior: -537.899
4       Regularization: 0.0012
Iter: 440       Training Loss: -492.6561
    Negative Log Likelihood: 34.6470    Sigma2 Prior: -527.304
3       Regularization: 0.0012
Iter: 450       Training Loss: -506.4524
    Negative Log Likelihood: 35.6669    Sigma2 Prior: -542.120
5       Regularization: 0.0012
Iter: 460       Training Loss: -454.0491
    Negative Log Likelihood: 42.7997    Sigma2 Prior: -496.850
0       Regularization: 0.0012
Iter: 470       Training Loss: -492.5522
    Negative Log Likelihood: 38.4197    Sigma2 Prior: -530.973
1       Regularization: 0.0012
Iter: 480       Training Loss: -508.5928
    Negative Log Likelihood: 38.3061    Sigma2 Prior: -546.900
0       Regularization: 0.0012
Iter: 490       Training Loss: -493.2020
    Negative Log Likelihood: 35.3578    Sigma2 Prior: -528.561
0       Regularization: 0.0012
Iter: 500       Training Loss: -449.1687
    Negative Log Likelihood: 42.2642    Sigma2 Prior: -491.434
1       Regularization: 0.0012
Iter: 510       Training Loss: -445.6096
    Negative Log Likelihood: 36.0305    Sigma2 Prior: -481.641
3       Regularization: 0.0012
Iter: 520       Training Loss: -514.8951
    Negative Log Likelihood: 38.7094    Sigma2 Prior: -553.605
7       Regularization: 0.0012
Iter: 530       Training Loss: -513.0086
    Negative Log Likelihood: 32.9825    Sigma2 Prior: -545.992
4       Regularization: 0.0012
Iter: 540       Training Loss: -496.8394
    Negative Log Likelihood: 40.7308    Sigma2 Prior: -537.571
5       Regularization: 0.0012
Iter: 550       Training Loss: -483.2487
    Negative Log Likelihood: 40.7425    Sigma2 Prior: -523.992
4       Regularization: 0.0012
Iter: 560       Training Loss: -481.6292
    Negative Log Likelihood: 37.3657    Sigma2 Prior: -518.996
1       Regularization: 0.0013
Iter: 570       Training Loss: -473.2278
    Negative Log Likelihood: 44.2473    Sigma2 Prior: -517.476
3       Regularization: 0.0013
Iter: 580       Training Loss: -471.1411
    Negative Log Likelihood: 45.3148    Sigma2 Prior: -516.457
2       Regularization: 0.0013
Iter: 590       Training Loss: -492.2147
    Negative Log Likelihood: 35.4668    Sigma2 Prior: -527.682
7       Regularization: 0.0013
Iter: 600       Training Loss: -495.4651
    Negative Log Likelihood: 37.0429    Sigma2 Prior: -532.509
3       Regularization: 0.0013
Iter: 610       Training Loss: -511.8615
    Negative Log Likelihood: 32.0180    Sigma2 Prior: -543.880
8       Regularization: 0.0013
Iter: 620       Training Loss: -486.0153
    Negative Log Likelihood: 33.4905    Sigma2 Prior: -519.507
1       Regularization: 0.0013
Iter: 630       Training Loss: -458.7225
    Negative Log Likelihood: 37.7169    Sigma2 Prior: -496.440
7       Regularization: 0.0013
Iter: 640       Training Loss: -470.3647
    Negative Log Likelihood: 38.3715    Sigma2 Prior: -508.737
5       Regularization: 0.0013
Iter: 650       Training Loss: -471.3132
    Negative Log Likelihood: 35.5592    Sigma2 Prior: -506.873
7       Regularization: 0.0013
Iter: 660       Training Loss: -477.3919
    Negative Log Likelihood: 38.0780    Sigma2 Prior: -515.471
2       Regularization: 0.0013
Iter: 670       Training Loss: -497.8996
    Negative Log Likelihood: 38.2450    Sigma2 Prior: -536.145
9       Regularization: 0.0013
Iter: 680       Training Loss: -477.2607
    Negative Log Likelihood: 35.3706    Sigma2 Prior: -512.632
5       Regularization: 0.0013
Iter: 690       Training Loss: -441.1147
    Negative Log Likelihood: 40.7708    Sigma2 Prior: -481.886
7       Regularization: 0.0013
Iter: 700       Training Loss: -488.7082
    Negative Log Likelihood: 34.2407    Sigma2 Prior: -522.9503       Regularization: 0.0013
Iter: 710       Training Loss: -475.3185
    Negative Log Likelihood: 41.2620    Sigma2 Prior: -516.5818       Regularization: 0.0013
Iter: 720       Training Loss: -498.7355
    Negative Log Likelihood: 33.9962    Sigma2 Prior: -532.7330       Regularization: 0.0013
Iter: 730       Training Loss: -508.1364
    Negative Log Likelihood: 35.2280    Sigma2 Prior: -543.3658       Regularization: 0.0013
Iter: 740       Training Loss: -481.4614
    Negative Log Likelihood: 41.7230    Sigma2 Prior: -523.1858 Regularization: 0.0014
Iter: 750       Training Loss: -475.2765
    Negative Log Likelihood: 31.1418    Sigma2 Prior: -506.4196 Regularization: 0.0014
Iter: 760       Training Loss: -500.5338
    Negative Log Likelihood: 32.3813    Sigma2 Prior: -532.9166 Regularization: 0.0014
Iter: 770       Training Loss: -472.9269
    Negative Log Likelihood: 38.1009    Sigma2 Prior: -511.0291 Regularization: 0.0014
Iter: 780       Training Loss: -498.7740
    Negative Log Likelihood: 33.2044    Sigma2 Prior: -531.9797 Regularization: 0.0014
Iter: 790       Training Loss: -451.8051
    Negative Log Likelihood: 45.3613    Sigma2 Prior: -497.1678 Regularization: 0.0014
Iter: 800       Training Loss: -502.5947
    Negative Log Likelihood: 30.9931    Sigma2 Prior: -533.5892 Regularization: 0.0014
Iter: 810       Training Loss: -495.2043
    Negative Log Likelihood: 42.5435    Sigma2 Prior: -537.7492 Regularization: 0.0014
Iter: 820       Training Loss: -479.6746
    Negative Log Likelihood: 33.6791    Sigma2 Prior: -513.3551 Regularization: 0.0014
Iter: 830       Training Loss: -467.6234
    Negative Log Likelihood: 37.9392    Sigma2 Prior: -505.5640 Regularization: 0.0014
Iter: 840       Training Loss: -496.8446
    Negative Log Likelihood: 37.1957    Sigma2 Prior: -534.0417 Regularization: 0.0014
Iter: 850       Training Loss: -472.6460
    Negative Log Likelihood: 31.4858    Sigma2 Prior: -504.1331 Regularization: 0.0014
Iter: 860       Training Loss: -476.3846
    Negative Log Likelihood: 36.8977    Sigma2 Prior: -513.2837 Regularization: 0.0014
Iter: 870       Training Loss: -502.1647
    Negative Log Likelihood: 37.8423    Sigma2 Prior: -540.0084 Regularization: 0.0014
Iter: 880       Training Loss: -485.0964
    Negative Log Likelihood: 36.8523    Sigma2 Prior: -521.9501 Regularization: 0.0014
Iter: 890       Training Loss: -493.9717
    Negative Log Likelihood: 33.0123    Sigma2 Prior: -526.9854 Regularization: 0.0014
Iter: 900       Training Loss: -503.9355
    Negative Log Likelihood: 38.7556    Sigma2 Prior: -542.6925 Regularization: 0.0014
Iter: 910       Training Loss: -479.1079
    Negative Log Likelihood: 35.8190    Sigma2 Prior: -514.9283 Regularization: 0.0014
Iter: 920       Training Loss: -504.7315
    Negative Log Likelihood: 33.9371    Sigma2 Prior: -538.6700 Regularization: 0.0014
Iter: 930       Training Loss: -509.4018
    Negative Log Likelihood: 35.4561    Sigma2 Prior: -544.8593 Regularization: 0.0014
Iter: 940       Training Loss: -522.3571
    Negative Log Likelihood: 33.1707    Sigma2 Prior: -555.5293 Regularization: 0.0014
Iter: 950       Training Loss: -500.1947
    Negative Log Likelihood: 33.5265    Sigma2 Prior: -533.7227 Regularization: 0.0014
Iter: 960       Training Loss: -489.3211
    Negative Log Likelihood: 39.8278    Sigma2 Prior: -529.1504 Regularization: 0.0015
Iter: 970       Training Loss: -448.3269
    Negative Log Likelihood: 34.6331    Sigma2 Prior: -482.9615 Regularization: 0.0015
Iter: 980       Training Loss: -464.3478
    Negative Log Likelihood: 37.6856    Sigma2 Prior: -502.0348 Regularization: 0.0015
Iter: 990       Training Loss: -478.3788
    Negative Log Likelihood: 37.6792    Sigma2 Prior: -516.0594 Regularization: 0.0015
Iter: 999       Training Loss: -488.9164
    Negative Log Likelihood: 31.4503    Sigma2 Prior: -520.3682 Regularization: 0.0015
Done training with 1000 iterations
Ground truth labels:
['15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '
15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_2', '15_2', '15_2', '15_2', '15_2', '15
_2', '15_2', '15_2', '15_2', '15_2', '15_2', '15_2', '15_0', '15_0', '15_0', '15_0', '15_0', '15_1', '15_1', '15_1
', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_2', '15_2', '15_2', '15_2', '15_2', '15_2', '15_2', '15_0',
 '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '
15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15_0', '15
_0', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1', '15_1']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0,
 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
--------------------------------------------------------------------------------
Ground truth labels:
['30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '
30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30
_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1
', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0',
 '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '
30_1', '30_1', '30_1', '30_1', '30_1', '30_1', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30_0', '30
_0', '30_0', '30_0', '30_1']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]
--------------------------------------------------------------------------------
Ground truth labels:
['52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '
52_0', '52_0', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52
_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_0
', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_0', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2',
 '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_2', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '
52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52
_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1', '52_1']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3,
 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
--------------------------------------------------------------------------------
Ground truth labels:
['71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '
71_0', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_2', '71_1', '71_1', '71
_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0
', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0', '71_0',
 '71_0', '71_0', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_0', '71_0', '71_0', '71_0', '71_0', '
71_0', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1', '71_2', '71_2', '71_2', '71
_2', '71_2', '71_2', '71_1', '71_1', '71_1', '71_1', '71_1', '71_1']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2,
 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]
--------------------------------------------------------------------------------
Ground truth labels:
['75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_2', '75_2', '75_2', '75_2', '75_2', '75_2', '
75_2', '75_2', '75_2', '75_2', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75
_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0
', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_0', '75_3', '75_3', '75_3',
 '75_3', '75_3', '75_3', '75_3', '75_3', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_2', '
75_2', '75_2', '75_2', '75_2', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75_4', '75
_4', '75_4', '75_4', '75_3', '75_3', '75_3', '75_3', '75_3', '75_1', '75_1', '75_1', '75_1', '75_1', '75_1', '75_1
', '75_1', '75_2', '75_2', '75_2']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 4,
 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2]
--------------------------------------------------------------------------------
Ground truth labels:
['80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_3', '
80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_5', '80_5', '80_5', '80_5', '80_5', '80
_5', '80_5', '80_5', '80_5', '80_5', '80_5', '80_5', '80_5', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4
', '80_4', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_0', '80_3',
 '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '80_3', '
80_3', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80_4', '80
_4']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3,
 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3,
 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
--------------------------------------------------------------------------------
Ground truth labels:
['140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_
0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '1
40_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_1', '140_4', '140_4', '140_4',
 '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_
4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_2', '140_2', '140_2', '140_2', '140_2', '1
40_5', '140_5', '140_5', '140_5', '140_5', '140_5', '140_5', '140_5', '140_5', '140_0', '140_0', '140_0', '140_0',
 '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_0', '140_4', '140_4', '140_4', '140_4', '140_
4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4', '140_4']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2,
 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
--------------------------------------------------------------------------------
Ground truth labels:
['146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_1', '146_1', '146_1', '146_
1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '1
46_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1',
 '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_
1', '146_1', '146_1', '146_1', '146_1', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '1
46_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1',
 '146_1', '146_1', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_0', '146_
0', '146_0', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1', '146_1']
Predicted labels:
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
--------------------------------------------------------------------------------
Ground truth labels:
['152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_1', '152_1', '152_
1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_4', '152_4', '152_4', '152_4', '152_4', '1
52_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_4', '152_2', '152_2',
 '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_1', '152_1', '152_1', '152_1', '152_1', '152_
1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '152_1', '1
52_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0',
 '152_0', '152_0', '152_0', '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_2', '152_
2', '152_2', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_0', '152_2', '152_2', '152_2', '1
52_2']
Predicted labels:
